الغنائي	Lyrical
إسلام	Islam
والعلاقة	And
الاحتياط	Reserve
قبلة	Kiss
الغموض	Mystery
الرواد	Pioneer
ثنائية	Bilateral
مراد	Murad
مسئولي	Officials
هيكل	Structure
بالمدينة	The
فرحان	Farhan
استمرارية	Continuity
المعاهدة	Treaty
التحويلية	Manufacturing
جدية	Seriousness
السكن	Housing
وعليها	And
الخليجيين	Gulf
بروز	The
ومشاريع	And
سينما	Cinema
الوالدان	Parents
الرحيل	Leave
حظ	Fortune
يتقبل	Accept
الإلكترونية	E
والحج	The
انجازه	Accomplished
لعبها	Played
الحكاية	Tale
التقاليد	Traditions
الحصن	Fort
نكن	We
الاية	Verse
متأخرة	Late
والسياسي	And
ينتمون	From
نجاحها	Success
السجلات	Records
تنبع	Stems
الهدية	Gift
الجلوس	Sitting
القرض	Loan
أمامها	Before
أنواعها	Types
منحت	Granted
ينتشر	Spreads
الفنانات	Artists
معلمة	Parameter
ادارات	Departments
دروس	Lessons
منخفضا	Low
شل	Shell
التنقل	Mobility
المصائب	Calamities
المعادلة	Equation
الدبلوماسية	Diplomacy
اعترف	Admitted
الهاشمية	Jordan
غنية	Rich
التغير	Change
لمدينة	City
عناوين	Addresses
أبيها	Her
الثقيل	Heavy
بمساعدة	Assisted
اختلفوا	Differed
الألم	Pain
يلاقي	Find
جزئية	Partial
عاتق	Lies
الضحك	Laughter
للآخر	The
نواة	Nucleus
الرفيع	High
نشاطات	Activities
غابت	Absent
[سورة	[Sura
الزحام	Hustle
العملات	Currency
حصوله	Receiving
أصدر	Issued
وينتهي	And
الوارث	Heir
المؤثرة	Affecting
المصحف	Mus
صحتها	Correctness
الآلاف	Thousands
فرج	Faraj
البكاء	Crying
البدائل	Alternatives
تطالب	Calling
الباردة	Cold
أخطاء	Errors
الإلكتروني	E
بالدورة	Session
السهلة	Easy
مشاة	Infantry
حكمها	Rule
تصاعد	Escalation
والمقاييس	And
لاعبه	Player
الأصلية	Original
وأفضل	The
تحتضن	Embraces
للكثير	For
داره	House
وبث	Broadcast
سليما	Sliema
مداخل	Entrances
للمدرب	Coach
النادرة	Rare
الضاحية	Suburb
الأبصار	Eyes
التصحر	Desertification
حسابات	Accounts
احدهم	One
سبقه	Previous
وقتنا	And
السنوى	Annual
التيارات	Currents
تطبيقات	Applications
باستغلال	Exploiting
رابع	Fourth
مخرجات	Output
بقضايا	Issues
وهاشم	Hashim
يتلقى	Receives
لوقف	To
الفاعل	Actor
والاستعداد	And
ضالة	Stray
عينات	Samples
بالمياه	Water
قم	Then
والبناء	Building
احتفلت	Celebrated
برز	Emerged
استغلالها	Exploited
المكونات	Components
إقليم	Region
بتسديدة	Shot
بادارة	Running
ناهيك	Not
تقضي	Spend
التسوية	Settlement
فرحا	Joy
كتيبة	Battalion
بوادي	Valley
العائلات	Families
رابعة	Fourth
والجهاد	Jihad
وبينه	And
اعمالهم	Their
آله	SAW
بعشرة	Ten
يجرى	Being
ولك	You
أقام	Established
فترى	You
الارهابيين	Terrorists
المتنقل	Mobile
نزع	Disarmament
ودعت	And
خليج	Bay
بنيابة	Procuratorate
بيئية	Environmental
كثافة	Density
انتقادات	Criticism
التثقيف	Education
اتضح	Turns
الآخرة	Hereafter
الدبلوماسي	Diplomatic
مجتمعه	Combined
تستقبل	Receive
وتغيير	And
تواصلت	Continued
والخابورة	Khabourah
الثنائي	Duo
شخصيته	His
والرغبة	The
واتاحة	And
المشرع	Legislator
شدد	Stressed
بقلب	Heart
هزيمة	Defeat
أمها	Her
يضرب	Hits
الميادين	Fields
انسحاب	Withdrawal
وخمسمائة	And
والمعرض	The
يفسر	Explains
للعبة	The
المشركون	Polytheists
تنموية	Development
ينفقون	Spend
الشيزاوي	Shezawi
مؤقتة	Temporary
السوفيتي	Soviet
للنبي	The
ملكة	Queen
حصلوا	Received
المعاصرين	Contemporary
الملل	Boredom
لمواكبة	To
مرارا	Repeatedly
الديموقراطي	Democratic
ايه	AT
مستقرة	Stable
والرد	And
للتخطيط	Planning
مسجلة	Registered
ووجدت	And
الحائط	Wall
المواطنون	Citizens
لإعادة	To
لألعاب	Games
والمشرفين	And
سقطت	Fell
ينهي	End
مسلمين	Muslims
لكونها	For
للعرض	Showing
جميلا	Beautiful
والشعراء	And
بالمغرب	Morocco
المدعوين	Invitees
للاعب	The
مولى	Sire
فشيئا	Gradually
يفوق	More
عريضة	Petition
التقاط	Capture
ويا	Loya
ولاشك	Undoubtedly
الترفيه	Entertainment
والمملكة	The
فنزويلا	Venezuela
الكتيبة	Battalion
وائل	Wael
ليبقى	To
الفوضى	Chaos
دفاعا	Defense
الشبه	Similarity
الفتى	Boy
تعذر	Unable
اليأس	Despair
وخطط	And
يسيطر	Controlled
يولد	Generates
اهلها	Its
الافتاء	Ifta
الرسيل	Rusayl
وحضور	And
ثواب	Reward
مصاف	Ranks
المطالبة	Claim
الاستثماري	Investment
ترميم	Restoration
والاخير	The
ينعم	Enjoy
اكتفى	Only
ودائرة	Circle
التقيد	Adherence
واقعة	Reality
أولاده	Sons
والبنك	The
يخاف	Afraid
غنائية	Lyrical
مشاركتهم	Their
وراءه	Behind
صواريخ	Rockets
ضخم	Huge
بصدق	Honestly
ويلتقي	And
الجردانية	Jerdanih
عناء	Bother
فلسطيني	Palestinian
الأمس	Yesterday
تغييرات	Changes
مأساة	Tragedy
الاندونيسي	Indonesian
لقبه	Surnamed
الجديد	New
العمالية	Unions
متصل	Post
زائر	Visits
ايدي	Eddie
احدكم	Any
العصر	Age
الرب	Lord
امتدت	Stretched
ركلات	Kicks
مواتية	Favorable
لحساب	To
انفسكم	Yourselves
أجمعين	Wholes
بأسره	The
شهريا	Monthly
تشريع	Legislation
المحرمات	Taboo
ذاتها	Same
تكثر	Abound
زاوية	Angle
البنات	Girls
يكلف	Cost
يمينه	His
باطل	Void
الأخ	Brother
ملأ	Filled
بفوزها	Winning
عائدات	Revenues
مشيدا	Praising
عمان	Oman
قبلها	Before
ارتداء	Wear
اتمنى	I
كبر	Zoom
يحيط	Takes
والقانونية	The
معجزة	Miracle
عبدالقادر	Abdulkadir
بالله	God
ولاة	And
لنيل	Neil
تتركز	Concentrated
الاسراء	Isra
تكلم	Spoke
الوفيات	Deaths
تموت	Die
وفضل	The
الأرضي	Ground
البرزخ	Isthmus
المسافات	Distances
أسوأ	Worst
لاطلاق	To
الانتقالية	Transitional
غالب	Ghalib
قولهم	Saying
بديوان	Diwan
جسمه	Body
مناقشات	Discussions
العقاب	Punishment
سنوات	Years
للفائزين	To
تصريحه	Statement
لاقت	Received
ينظمه	Organized
اتهم	Charged
الدغيشي	Aldgesha
الأمطار	Rain
بالأمس	Yesterday
والعدل	And
النقالة	Mobile
بتدريب	Trained
وهن	They
وإدارة	And
والشعور	And
والهلال	Crescent
تكفي	Suffice
النهائي	Final
وتركيا	Turkey
الاوائل	Top
يشجع	Encourages
أهالي	People
ونزوى	Nizwa
والباقي	And
الموهبة	Talent
الامدادات	Supplies
مميزا	Distinctive
بليون	
لجذب	To
دراية	Familiar
ستار	Star
دلالات	Semantics
يستخدمها	Used
الشفاء	Healing
خاطئة	Wrong
وصحم	Saham
اباد	ISLAMABAD
صدى	Echo
بالاهتمام	Interest
بو	Bo
خالصة	Pure
حفاظا	Preserve
إزاء	About
التهديدات	Threats
الدماغ	Brain
المكاتب	Offices
أيا	Whatever
الاعدادية	Prep
مديرا	Director
سيطرته	Control
يعرفه	Know
اظهار	Show
ظهرا	Noon
بئر	Beer
نهار	Day
توافق	Agree
معارضة	Opposition
العائلية	Family
المجتمعون	Conferees
ولديه	And
مرآة	Mirror
وفهد	Fahd
سندات	Bonds
موقعا	Location
محبي	Lovers
القيامة	Resurrection
الثوب	Dress
والطلب	And
التمر	Dates
تحالف	Alliance
المطرب	Singer
الاقتراح	Proposal
الساحلي	Coastal
للاعبي	Of
ولاسيما	Especially
ضيفا	Guest
صح	True
بنفسك	Yourself
حماد	Hammad
النعمان	Numan
الميقات	Meeqaat
التخصصية	Specialized
بتنمية	Development
المعاش	Pension
فأن	The
عبداللطيف	Abdullatif
وسيف	Saif
ايمان	Iman
تحتها	Below
الاخلاق	Ethics
انضمام	Join
بقصد	Order
أمرها	Her
لسنوات	For
لكون	To
الشمسية	Solar
البلاغة	Rhetoric
لكونه	For
بمجموعة	Range
سنوي	Yearly
وسنحت	And
والصعوبات	And
سيطر	Dominated
العبارة	Gateway
الأول	First
سمعنا	Heard
مزارع	Farms
التنبيه	Alert
الوكلاء	Agents
وثلاث	And
الطبيعى	Natural
التحضير	Preparation
الصدقة	Charity
التقاعد	Retirement
وقيام	And
مسلحة	Armed
الامية	Illiteracy
للتمريض	Nursing
المستهدف	Target
الوفاة	Death
منشآت	Installations
قاعات	Halls
ونادي	Club
بالمدارس	School
خطابه	His
الأدباء	Writers
موهبة	Talent
خصيصا	Specifically
الشياطين	Devils
الشون	Barns
القياسية	Standard
اهميتها	Significance
الاجل	Term
لاعبينا	Our
المطهرة	Aseptic
ليكونوا	To
وإخراج	The
أوامر	Orders
اميركيون	US
بالطرق	Means
يلحق	Appends
ملكا	King
لجهود	The
بلى	Yes
بالتقوى	Piety
ضيقا	Narrow
جثة	Corpse
وصقل	And
أخبر	Tell
أياما	Days
ستشارك	Will
واد	Wade
التهديد	Threat
رأيي	My
الصناعى	Industrial
عزوجل	Almighty
بينت	Showed
الوساطة	Mediation
يخاطب	Address
التعارف	Dating
ومختلف	And
والجوائز	The
النصيحة	Advice
حبيل	Hubail
الضارة	Harmful
تلاه	Followed
ورسم	And
امرا	Ordered
أظهرت	Showed
والمشاكل	And
الاستطلاع	Poll
الاستئذان	Authorization
يسعون	Seeking
نقلت	Flew
صدقة	Charity
لنهائيات	Finals
بصوت	Voice
يتوجب	Have
المتاحف	Museums
توثيق	Documenting
نستفيد	BENEFIT
القاعة	Hall
تتطور	Evolve
الخلل	Imbalance
أردنا	We
الأصيلة	Authentic
صاحبات	Owners
طبيعتها	Nature
وتلعب	And
اجتمع	Met
الرأسمالي	VC
هنري	Henry
المسؤولة	Responsible
والتراث	And
والتقنيات	And
للحركة	Movement
امسية	Evening
رعايته	Sponsored
المظاهر	Manifestations
السلام	Peace
والمراجع	References
أسرع	Fastest
حضورها	Presence
عمارة	Building
اعتقلت	Arrested
متقدما	Advanced
قانونا	Law
والوحدة	And
حلبة	Circuit
الاسبق	Former
المعجزة	Miracle
لاكتشاف	To
وصفها	And
معلومة	Information
العماني	Oman
مواعيد	Dates
للصحة	Health
يأتون	Come
يفصل	Separates
والتليفزيون	TV
الوقائية	Preventive
انفجرت	Exploded
بالمشروع	Project
الاستمتاع	Enjoy
فهمي	Fahmi
نطالب	Call
انجلوس	Angeles
الليبي	Libyan
الانسانى	Humanitarian
بأنك	You
لسنة	For
غينيا	Guinea
واهتمام	And
السكر	Sugar
تحركات	Movements
المطلب	Muttalib
والمسرح	The
الكثافة	Density
وانهم	And
موقعه	Its
المتعلق	On
احتساب	Calculating
مقرر	Decision
التشريق	Tashreeq
تسبح	Swim
الحمى	Fever
بالشرقية	Sharqia
الستينيات	Sixties
أثرت	Affected
النائية	Remote
الراعية	Sponsoring
المعصية	Sin
بدأنا	Started
القصصية	Anecdotal
الأفق	Horizon
ماجه	Majah
يلجأ	Resort
لتغطية	To
والطلبة	And
موجه	Prompt
الانطلاق	Starting
والجهاز	The
بتسجيل	Record
للغة	Language
والمنتجات	And
واللقاءات	And
آمال	Hopes
مستلزمات	Supplies
بنتائج	The
سينا	Senna
اخرى	Another
مواضع	Positions
الشجرة	Tree
تداولا	Traded
اصابات	Injuries
الأولمبياد	Olympics
للفكر	Think
ويملك	And
الدؤوب	Hardworking
للآخرين	Others
الممارسة	Practice
الميلادي	AD
صبري	Sabri
الفريضة	DUTY
وتأمل	And
ووقف	The
بهدوء	Quietly
الامكانات	Potential
الانتفاع	Use
اللذان	Two
فتحي	Fathi
مستمرا	Continuous
طفلك	Baby
وتوفر	And
تأسست	Founded
العامة	General
المعارك	Battles
كفر	Kafr
المطعني	المطعني
لرسول	Messenger
بيانا	Statement
النمط	Style
والاشراف	And
ومحافظة	The
الصيانة	Maintenance
الكلباني	Kalbani
وإنشاء	And
تمسك	Stuck
بورتو	Porto
باتحاد	Union
وتنوع	And
بمهرجان	Festival
وتقوية	And
والايمان	And
بالتعليم	Education
الشروع	Begin
يلبس	Wears
الأربع	Four
بأمور	Matters
ونسبة	The
داعي	Need
استئناف	Resume
تنظيف	Cleaning
وباكستان	Pakistan
المستفيدين	Beneficiaries
وللأسف	Unfortunately
ملة	Religion
الفروع	Branches
الأبحاث	Research
ملابس	Clothes
حريصا	Harissa
للرماية	Shooting
وضعية	Position
النطق	Speech
بالجمهورية	Republic
يغلب	Predominantly
نارا	Nara
يلعبون	Playing
ومصادر	The
شفاء	Healing
فيهن	Therein
روحا	Spirit
الضوابط	Controls
وانتهت	And
وحمل	Download
متخصص	Specialist
وتنتهي	And
نيقوسيا	Nicosia
الموصى	Recommended
يقسم	Divides
صريح	Frank
لموضوع	Multi
أصغر	Smaller
قصائده	Poems
المكونة	Constituent
محالة	Inevitably
قناعة	Convinced
النثر	Prose
سنوية	Annual
للمؤسسات	Institutions
مكانتها	Its
النجف	Najaf
خلفا	Replacing
وصلة	Link
لمعالي	HE
الحملات	Campaigns
يتراوح	Range
حكومات	Governments
بدايتها	Beginning
يارسول	Oh
توجيهات	Guidance
معشر	O
والأدب	Literature
النباتية	Plant
للدين	Of
الفقرة	Paragraph
حلمي	Helmi
صوب	Towards
مفصل	Detailed
التعويض	Compensation
بالداخلية	Boarding
الشماخي	Shammakhi
ابعدها	Drifted
والرواية	The
وحرم	The
الانتقادات	Criticism
انتخاب	Elect
بالكتاب	Book
الداعي	Calling
المصنع	Factory
يطبق	Applied
تستغرق	Takes
الثغرات	Gaps
للبرنامج	Program
والتفاعل	And
الحسين	Hussein
التجميل	Beauty
ثلاثا	Three
ومثيرة	The
السنيدي	Sunaidi
تمثله	Represents
التفجيرات	Blasts
استخدامه	Use
والحيوانية	Animal
المحافظين	Conservative
والتعليمية	And
وغياب	And
بالسنة	Year
الملفات	Files
ويبحث	Looking
ووسط	And
والجدير	It
لقمة	Summit
المؤدية	Leading
ضمنها	Including
الفهدي	Fahdi
مسؤولي	Officials
المؤمنين	Believers
يراها	Sees
سنه	Age
المقيمين	Residents
والخلق	Creation
والبيانات	The
الراعي	Shepherd
يأكلون	Ate
المصطفى	Mustafa
فيقولون	Say
الأسهم	Shares
وحده	Alone
يخلق	Creates
ينطق	Utters
الازرق	Blue
لديك	You
كلثوم	Kulthum
وشاركت	And
الفرسان	Knights
المتحركة	Moving
الكمية	Volume
ومربي	The
منهن	Of
بديلا	Substitute
الفصيح	Eloquent
الطارئة	Emergency
الألمانية	German
عملنا	Our
شهيدا	Martyr
الرعد	Thunder
المكانة	Position
وذوي	And
لاكثر	For
يومنا	Day
التفرقة	Segregation
والتأمل	And
انفسنا	Ourselves
ملاحظات	Notes
رمال	Sands
نبيلة	Nabila
وراشد	Rashid
ايضا	Also
اعرف	Know
امثال	Proverbs
الباقية	The
جبران	Gibran
جيمس	James
المسلحين	Insurgents
التعرض	Exposure
ونبيل	Nabil
ابنته	Daughter
حاولوا	Tried
بالمجلس	Council
ايرادات	Revenue
فعلينا	We
يرسم	Draws
عائد	Yield
حاكم	Governor
انابيب	Pipeline
الابن	Son
بأمر	Order
مرضه	Illness
أموالهم	Money
الموز	Banana
طبقات	Layers
وثلاثين	Thirty
تبديل	Switch
الانتفاضة	Intifada
انتقد	Criticized
الاكراد	Kurds
ازدياد	Increased
البدن	Hull
مقرا	Based
اختتم	Concluded
الثمانينيات	Eighties
الحصار	Blockade
بشرطة	Police
للهوكي	Hockey
بالليل	Night
موجهة	Directed
وظيفته	His
يهود	Jews
البقر	Cow
الهيكل	Structure
مسلمة	Muslim
التدين	Religiosity
المعروضات	Exhibits
والقضايا	And
النبيين	Prophets
حققتها	Achieved
لآيات	Signs
يعالج	Handles
تفجير	Bombing
تقوى	Piety
ويتحدث	And
والمنشآت	And
المستلزمات	Supplies
متمثلة	Represented
بارتفاع	Up
ركعتين	Rak'ahs
الجمهوري	Republican
باختيار	Choose
الحظر	Ban
